S.No.,Req ID,Skill Group,Final Status,Channel Mix,OS Incline Date,Offer Accept Date
1,3092558,"NA-AWS, FA-II, L5",Offer Accept,LinkedIn,12-Jan-26,14-Jan-26
2,3092557,"NA-AWS, FA-II, L5",Offer Accept,LinkedIn,9-Jan-26,21-Jan-26
3,3132618,"NA-AWS, FA-II, L5",Rejected at OS,LinkedIn,,
4,3132617,"NA-AWS, FA-II, L5",Rejected at BPS,LinkedIn,,
5,3134649,"NA-GMAC, FA-II, L5",Rejected at OS,LinkedIn,,
6,3113053,"NA-GMAC, FA-II, L5",Rejected at BPS,LinkedIn,,
7,3113053,"NA-GMAC, FA-I, L4",Offer Accept,LinkedIn,28-Jan-26,2-Feb-26
8,3113053,"NA-GMAC, FA-II, L5",Candidature Withdrawn,LinkedIn,,
9,3148695,"NA-AWS, FA-II, L5",Rejected at BPS,LinkedIn,,
10,3145128,"NA-AWS, FA-II, L5",Candidature Withdrawn,LinkedIn,,
11,3129885,"NA-AWS, FA-II, L5",Rejected at OS,LinkedIn,,
12,3148698,"NA-AWS, FA-II, L5",Offer Accept,LinkedIn,5-Feb-26,10-Feb-26
13,3126449,"NA-AWS, FA-III, L6",Offer Accept,Hire,26-Feb-26,27-Feb-26
14,3145203,"NA-AWS, FA-III, L6",Offer Accept,Hire,5-Feb-26,10-Feb-26
15,3100126,"NA-DAS, FA-II, L5",Rejected at BPS,LinkedIn,,
16,3090616,"NA-DAS, FA-II, L5",Offer Accept,LinkedIn,31-Mar-26,4-Apr-26
17,3176888,"NA-Accounting, FA-III, L6",OS Incline,LinkedIn,,
18,3192050,"NA-Accounting, FA-III, L6",Rejected at OS,Direct Applicant,,
19,3192050,"NA-Accounting, FA-III, L6",Rejected at BPS,Direct Applicant,,
20,3148695,"NA-AWS, FA-II, L5",Awaiting BPS,LinkedIn,,
21,3196936,"NA-AWS, FA-II, L5",Scheduled OS,LinkedIn,,
22,3189720,"NA-AWS, FA-II, L5",Rejected at OA,LinkedIn,,
23,3100126,"NA-DAS, FA-II, L5",Scheduled OA,LinkedIn,,
24,3174051,"NA-Accounting, FA-III, L6",Rejected at HM RR,LinkedIn,,
25,3184802,"NA-Accounting, FA-III, L6",Offer Accept,LinkedIn,19-Apr-26,22-Apr-26
